Duration,Start station number,Start station,End station number,End station,Bike Number,Member Type
1221,31643,1st & D St SE,31223,Convention Center / 7th & M St NW,W21502,Member
233,31600,5th & K St NW,31263,10th & K St NW,W21361,Member
589,31507,1st & Washington Hospital Center NW,31124,14th & Irving St NW,W23215,Casual
844,31644,12th St & Pennsylvania Ave SE,31108,4th & M St SW,W00087,Member
1012,31011,Crystal Dr & 23rd St S,31249,Jefferson Memorial,W22633,Member
328,31119,14th & Belmont St NW,31280,11th & S St NW,W23045,Member
848,31516,Rhode Island Ave Metro,31519,1st & O St NW,W21777,Member
186,31906,Commonwealth Ave & Oak St,31098,King St Metro North / Cameron St,W22461,Member
246,31124,14th & Irving St NW,31115,Columbia Rd & Georgia Ave NW,W20988,Member
1241,31638,1st & H St NW,31293,31st & Water St NW,W21922,Member
1423,31512,Neal St & Trinidad Ave NE,31223,Convention Center / 7th & M St NW,W21870,Member
426,32039,Old Georgetown Rd & Southwick St,32027,Battery Ln & Trolley Trail,W23196,Member
587,31917,N Lynn St & Fairfax Dr,31089,Court House Metro / 15th & N Uhle St ,W23330,Member
266,31244,4th & E St SW,31108,4th & M St SW,W00376,Member
507,31401,14th St & Spring Rd NW,31101,14th & V St NW,W21334,Member
1716,31514,Hamlin & 7th St NE,31295,Potomac & M St NW,W20027,Casual
598,31024,Virginia Square Metro / N Monroe St & 9th St N,31077,Iwo Jima Memorial/N Meade & 14th St N,W20441,Member
793,31403,5th & Kennedy St NW,31502,John McCormack Dr & Michigan Ave NE,W22467,Member
3684,31106,Calvert & Biltmore St NW,31229,New Hampshire Ave & T St NW,W22593,Member
644,31642,New Jersey Ave & L St NW,31640,Maryland Ave & E St NE,W20722,Member
277,31125,15th & W St NW,31200,Massachusetts Ave & Dupont Circle NW,W21616,Member
710,31285,22nd & P ST NW,31119,14th & Belmont St NW,W23034,Member
341,31302,Wisconsin Ave & Newark St NW,31308,39th & Veazey St NW,W22079,Member
975,31626,15th St & Massachusetts Ave SE,31288,4th St & Madison Dr NW,W21049,Member
435,31102,11th & Kenyon St NW,31109,7th & T St NW,W22650,Member
1451,31623,Columbus Circle / Union Station,31237,25th St & Pennsylvania Ave NW,W23563,Member
2520,31014,Lynn & 19th St North,31066,Columbia Pike & S Orme St,W01327,Member
1417,31401,14th St & Spring Rd NW,31401,14th St & Spring Rd NW,W00714,Member
707,31202,14th & R St NW,31637,North Capitol St & G Pl NE,W22022,Member
448,31275,New Hampshire Ave & 24th St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W21313,Member
1344,31301,Ward Circle / American University,31200,Massachusetts Ave & Dupont Circle NW,W01398,Member
1466,31614,11th & H St NE,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21595,Casual
457,31265,5th St & Massachusetts Ave NW,31623,Columbus Circle / Union Station,W22098,Member
1553,31304,36th & Calvert St NW / Glover Park,31623,Columbus Circle / Union Station,W22975,Casual
3828,31629,8th & East Capitol St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W21950,Casual
1541,31606,Potomac & Pennsylvania Ave SE,31706,Fairfax Village,W00634,Member
1319,31276,15th & L St NW,31258,Lincoln Memorial,W21039,Member
1285,31276,15th & L St NW,31258,Lincoln Memorial,W20468,Member
321,31299,Connecticut Ave & R St NW,31255,24th & N St NW,W00505,Member
991,31626,15th St & Massachusetts Ave SE,31228,8th & H St NW,W01315,Member
1286,31231,14th & D St NW / Ronald Reagan Building,31506,1st & Rhode Island Ave NW,W22642,Member
3358,31820,Anacostia Park,31820,Anacostia Park,W23155,Member
3326,31820,Anacostia Park,31820,Anacostia Park,W20676,Member
925,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31204,20th & E St NW,W21313,Member
212,31117,15th & Euclid St  NW,31116,California St & Florida Ave NW,W20997,Member
2165,32082,Garland Ave & Walden Rd,32403,Baltimore Ave & Jefferson St,W23580,Member
168,31310,Connecticut & Nebraska Ave NW,31318,Connecticut Ave & Yuma St NW,W21318,Member
287,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31218,L'Enfant Plaza / 7th & C St SW,W00429,Member
151,31103,16th & Harvard St NW,31104,Adams Mill & Columbia Rd NW,W21089,Member
1168,31249,Jefferson Memorial,31624,North Capitol St & F St NW,W00345,Member
450,31201,15th & P St NW,31116,California St & Florida Ave NW,W01132,Member
303,31039,Wilson Blvd & N Quincy St,31920,Washington-Lee High School / N Stafford St & Generals Way,W22363,Member
399,31119,14th & Belmont St NW,31245,7th & R St NW / Shaw Library,W23303,Member
13053,31042,Market Square / King St & Royal St,31041,Prince St & Union St,W22424,Casual
13006,31042,Market Square / King St & Royal St,31041,Prince St & Union St,W21706,Casual
868,31412,3rd St & Riggs Rd NE,31405,Georgia Ave & Emerson St NW,W23382,Member
337,31102,11th & Kenyon St NW,31109,7th & T St NW,W22508,Member
381,31299,Connecticut Ave & R St NW,31128,23rd & M St NW,W23099,Member
1265,31405,Georgia Ave & Emerson St NW,31232,9th & F St NW / National Portrait Gallery,W00620,Casual
185,31218,L'Enfant Plaza / 7th & C St SW,31633,Independence Ave & L'Enfant Plaza SW/DOE,W21563,Member
2160,32039,Old Georgetown Rd & Southwick St,31314,34th & Water St NW,W20699,Member
10005,31638,1st & H St NW,31263,10th & K St NW,W01127,Member
783,31108,4th & M St SW,31108,4th & M St SW,W00376,Casual
409,31266,11th & M St NW,31624,North Capitol St & F St NW,W21647,Member
826,31601,19th & East Capitol St SE,31271,Constitution Ave & 2nd St NW/DOL,W00208,Member
835,31288,4th St & Madison Dr NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W21049,Member
555,31104,Adams Mill & Columbia Rd NW,31246,M St & Pennsylvania Ave NW,W21089,Member
852,31225,C & O Canal & Wisconsin Ave NW,31241,Thomas Circle,W22339,Member
657,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31278,18th & R St NW,W00335,Member
374,31919,Carlin Springs Rd & N Thomas St,31023,Fairfax Dr & Wilson Blvd,W22603,Member
252,31245,7th & R St NW / Shaw Library,31223,Convention Center / 7th & M St NW,W23303,Member
1341,31607,13th & E St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W21844,Member
7455,31321,15th St & Constitution Ave NW,31238,14th & G St NW,W23213,Casual
7434,31321,15th St & Constitution Ave NW,31238,14th & G St NW,W23483,Casual
830,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31204,20th & E St NW,W23383,Casual
822,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31204,20th & E St NW,W21682,Casual
1722,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31215,Georgetown Harbor / 30th St NW,W21595,Casual
743,31630,15th & East Capitol St NE,31645,6th & K St NE,W20169,Member
1138,31630,15th & East Capitol St NE,31512,Neal St & Trinidad Ave NE,W00562,Member
402,31642,New Jersey Ave & L St NW,31243,4th & C St SW,W21774,Member
1056,31278,18th & R St NW,31028,N Veitch & Key Blvd,W22418,Member
438,31414,Georgia Ave & Piney Branch Rd NW,31408,Takoma Metro,W01349,Casual
1561,31213,17th & K St NW,31213,17th & K St NW,W20569,Casual
1222,31035,N Quincy St & Glebe Rd,31215,Georgetown Harbor / 30th St NW,W00840,Member
314,31121,Calvert St & Woodley Pl NW,31200,Massachusetts Ave & Dupont Circle NW,W22875,Member
689,31252,21st St & Pennsylvania Ave NW,31288,4th St & Madison Dr NW,W00499,Member
644,31630,15th & East Capitol St NE,31623,Columbus Circle / Union Station,W23020,Member
534,31711,Deanwood Rec Center,31703,Minnesota Ave Metro/DOES,W22681,Member
176,31080,Lee Hwy & N Scott St,31027,Key Blvd & N Quinn St,W23491,Member
396,31612,D St & Maryland Ave NE,31270,8th & D St NW,W01082,Member
382,31040,Fairfax Dr & Kenmore St,31919,Carlin Springs Rd & N Thomas St,W20398,Member
483,31105,14th & Harvard St NW,31116,California St & Florida Ave NW,W21375,Casual
279,31401,14th St & Spring Rd NW,31602,Park Rd & Holmead Pl NW,W20157,Member
307,31280,11th & S St NW,31214,17th & Corcoran St NW,W00130,Member
416,31114,18th St & Wyoming Ave NW,31128,23rd & M St NW,W00434,Member
301,31280,11th & S St NW,31214,17th & Corcoran St NW,W21058,Member
880,31519,1st & O St NW,31227,13th St & New York Ave NW,W21777,Member
4021,31314,34th & Water St NW,31227,13th St & New York Ave NW,W00098,Member
680,31266,11th & M St NW,31257,22nd & I St NW / Foggy Bottom,W23274,Member
557,31919,Carlin Springs Rd & N Thomas St,31040,Fairfax Dr & Kenmore St,W21242,Casual
455,31102,11th & Kenyon St NW,31202,14th & R St NW,W22056,Member
892,31276,15th & L St NW,31602,Park Rd & Holmead Pl NW,W00199,Member
217,31077,Iwo Jima Memorial/N Meade & 14th St N,31014,Lynn & 19th St North,W20753,Member
118,31218,L'Enfant Plaza / 7th & C St SW,31633,Independence Ave & L'Enfant Plaza SW/DOE,W00429,Member
903,31107,Lamont & Mt Pleasant NW,31215,Georgetown Harbor / 30th St NW,W01214,Member
986,31114,18th St & Wyoming Ave NW,31230,Metro Center / 12th & G St NW,W21434,Member
712,31518,New York Ave & Hecht Ave NE,31505,Eckington Pl & Q St NE,W23145,Member
274,31604,3rd & H St NW,31623,Columbus Circle / Union Station,W22967,Member
374,31500,4th & W St NE,31603,1st & M St NE,W22766,Member
2698,31517,Union Market/6th St & Neal Pl NE,31512,Neal St & Trinidad Ave NE,W22634,Member
262,31203,14th & Rhode Island Ave NW,31223,Convention Center / 7th & M St NW,W00131,Member
380,31298,15th & M St NW,31101,14th & V St NW,W22609,Member
258,31642,New Jersey Ave & L St NW,31228,8th & H St NW,W22859,Member
810,31306,39th & Calvert St NW / Stoddert,31200,Massachusetts Ave & Dupont Circle NW,W00595,Member
372,31282,16th & R St NW,31224,19th & L St NW,W22455,Member
512,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31258,Lincoln Memorial,W00666,Casual
596,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31609,Maine Ave & 7th St SW,W20724,Member
5626,31128,23rd & M St NW,31128,23rd & M St NW,W21360,Casual
5595,31128,23rd & M St NW,31128,23rd & M St NW,W01347,Casual
5586,31128,23rd & M St NW,31128,23rd & M St NW,W23099,Casual
498,31265,5th St & Massachusetts Ave NW,31603,1st & M St NE,W22816,Member
